Size,BiBandwidth_ud_verbs,BiBandwidth_shm
1,3.11,9.12
2,6.08,19.60
4,12.62,38.98
8,25.33,75.56
16,48.87,159.19
32,98.01,272.07
64,186.69,569.56
128,342.08,753.26
256,613.04,1397.81
512,1069.01,2520.06
1024,1472.84,4443.37
2048,2217.02,6976.07
4096,2214.67,9684.08
8192,2429.67,11582.25
16384,2496.18,8981.13
32768,2591.76,12492.56
65536,2618.15,15910.17
131072,2548.20,17205.23
262144,2575.35,15446.46
524288,2606.55,15536.82
1048576,2585.08,15720.68
2097152,2529.56,15756.56
4194304,2474.22,7292.46
